sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
223,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"sehr fein gearbeitete Kupferstatue",,,,0,/c/i/cintamani275_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya Kupferstatue 21cm",,,"Product Info Column",,649.0001,0,"Aksobhya Kupferstatue 21cm",/c/i/cintamani275_7.jpg,,,,,1,5,/c/i/cintamani275_7.jpg,,"2015-04-07 14:51:53",aksobhya-steinstatue-a-20cm,aksobhya-steinstatue-a-20cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/c/i/cintamani275_7.jpg,,1,0
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya teilvergoldete Kupferstatue 12cm",,,,0,/0/2/02007shakyahg125aks_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya teilvergoldete Kupferstatue 12cm",,,"Product Info Column",,119.0000,0,"Aksobhya teilvergoldete Kupferstatue 12cm",/0/2/02007shakyahg125aks_7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:53",aksobhya-steinstatue-a-17cm,aksobhya-steinstatue-a-17cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya Kupferstatue B 20cm",,,,0,/0/8/08.20_cu_shakyamuni_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya Kupferstatue B 20cm",,,"Product Info Column",,158.9999,0,"Aksobhya Kupferstatue B 20cm",/0/8/08.20_cu_shakyamuni_7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:53",aksobhya-steinstatue-a-14cm,aksobhya-steinstatue-a-14cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya teilvergoldete Kupferstatue 20cm",,,,0,/0/2/02007shakyahg20_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya teilvergoldete Kupferstatue 20cm",,,"Product Info Column",,249.0000,0,"Aksobhya teilvergoldete Kupferstatue 20cm",/0/2/02007shakyahg20_7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:53",aksobhya-vollvergoldete-kupferstatue-7-5cm,aksobhya-vollvergoldete-kupferstatue-7-5cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya vollvergoldete Kupferstatue 14cm",,,,0,/1/6/169_ecn801a_14cm_shakyamuni_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya vollvergoldete Kupferstatue 14cm",,,"Product Info Column",,241.9999,0,"Aksobhya vollvergoldete Kupferstatue 14cm",/1/6/169_ecn801a_14cm_shakyamuni_7.jpg,,,,,1,5,,,"2015-04-07 14:51:53",aksobhya-vollvergoldete-kupferstatue-14cm,aksobhya-vollvergoldete-kupferstatue-14cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
